Transaction Hash,Status,Method,Blockno,DateTime (UTC),From,From_Nametag,To,To_Nametag,Amount,Value (USD),Txn Fee
"0x5fb3af3b42e5bcf08c989c4a38f213b1477eaa88b439cc21d9cf0a25ead92da4","Success","Transfer","15479088","2022-09-05 17:21:56","0x974caa59e49682cda0ad2bbe82983419a2ecc400","Stake.com","0x29605c2f5eb8518c864c83d9bbbf7608917e3bd5","","0.15635 ETH","$600.76","0.00017294"
"0x6b2cdd020df5438de3daa7ac2a04add822f2fa04e51f1a308c0f9efc5a2a8f08","Success","Deposit ETH","15479088","2022-09-05 17:21:56","0x3573ce5a67b944cda9acd19f6d4786057ffb3a42","","0xabea9132b05a70803a4e85094fd0e1800777fbef","zkSync","0.046 ETH","$176.75","0.00051572"
"0xcd7cd9188981a9e0268c8f1ddbd8bd3a2e669cacedeeb22291d172b19da99c91","Success","Mint","15479088","2022-09-05 17:21:56","0xd5b6cd870da70190b1da2911453da85101ea7eec","","0x063233df3a67da480fc2c111836c11cfed48931c","","0 ETH","$0.00","0.00089304"
"0xb56334115b4164772463ed0d7e3004002814df7e342458a6d3a68b14bef1698f","Success","Withdraw","15479088","2022-09-05 17:21:56","0xcd4a15841a4906ff78d3f2aa8e55936f1a7ae4a5","","0x9983d8cdeaf7872501628229d311e2f7df396add","","0 ETH","$0.00","0.00078314"
"0x70ed0ac76e74590ce79d4a0b478ead6c75d160158f76adb3dcb4632715936cf9","Success","Set Approval For All","15479088","2022-09-05 17:21:56","0x765a30581c84d2e8e6e6c620e822e9d40cc66077","simpnest.eth","0x2f073c4a897c615101fe4df00ea0869191c6fa8d","Drunk Robots: DR Token","0 ETH","$0.00","0.00041154"
"0x19e392cf327f904f5c326a52872b54199eea1a66558b8b60bcfda1d42f43a886","Success","Multicall","15479088","2022-09-05 17:21:56","0x80fac6042759cea6bdb7d8660161bb1c67b2c718","","0x68b3465833fb72a70ecdf485e0e4c7bd8665fc45","Uniswap V3: Router 2","0.05 ETH","$192.12","0.00144801"
"0xbba62e4ae7730260b698cd89e6529a7f17fa9da818773d3d7aed38668395ff8c","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0x9672f98f48862c36335b73185de3a591fff20550","","0.020333873 ETH","$78.13","0.00018737"
"0xb5b0f2f84fa1177ded9fcf25bfec57e8735b36722a58b002989171f85df32d9e","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xce3284219ba23eec3014ab1609728a45b5c27feb","","0.020249255 ETH","$77.81","0.00018766"
"0x5cdf1a43c24b185d267c4263575ef8bf1dee06cd6890b9df1575a76b4daf0154","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0x423fcdf25746e53bf609baa83d02fa05e7b1c994","","0.026155309 ETH","$100.50","0.00018737"
"0x2e6892853b588ecd2ec46de02aa9b532353e8589bc6b30a0d6d5fe46328482a1","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xcbac325d0c9d3be83100cdff18487c5e5c382722","","0.028353136 ETH","$108.95","0.00018737"
"0x48ba2d7d81d5f27135f5c593a3891acc94579ff9cffd370bcfa18081a43fd808","Success","Transfer","15479088","2022-09-05 17:21:56","0x00192fb10df37c9fb26829eb2cc623cd1bf599e8","2Miners: PPLNS","0xc7462e3c3bd6d538b1514916a68673ec8e7a06ca","","0.029192828 ETH","$112.17","0.00018737"
